Name,Category,Status,Brand,Model,Warranty Date,Purchase Price,Purchase Date,Residual Value,Depreciated Value,Flag,Geo,Kit,Location,Created,Expired,Id,Codes,Image Url,Barcodes,Check-out Started,Check-out Due,Check-out Finished,Check-out Id,Contact Name,Contact Email,Contact Company,Check-out Location Name,Custody (via name),Custody (via email),Serial number,Description,Owner,Hyperlink,BH ID,Manufacturer,Model Number,Inventory Number,Online Link,Serial,Purchase Date,Item Number,MSRP
"1/4"" Stand Adapter",Uncategorized,available,,,,,2016-01-01 12:00:00,,,,,,GPC | Apollo Studios + VR Lab,2023-01-06 05:35:19,,hpAG6fxb8cpjCZ2wTfeGg6,,,,,,,,,,,,,,,"1/4"" Stand Adapter",,,,,,,,,,,
10ft XLR Cable,XLR,available,Kopul,M3010,,17.95,2020-01-27 12:00:00,,,,"36.3649821, -94.214582",Podcast Kit | Audio Interface,GPC | Apollo Studios + VR Lab,2023-04-04 06:42:34,,fJ7F9MqoeGGKhPuTGRNvE9,,https://attachments.cheqroomcdn.com/app/groups/PcxFCbYNX5ZroUMdZeaUs/4d284d9c-d342-11ed-8b15-0a58a9feac02.jpg,CB1-0007,,,,,,,,,,,,,,https://www.bhphotovideo.com/c/product/867219-REG/Kopul_m3010_Premium_Performance_3000_Series.html,KOM3010,,,,,,,,
10ft XLR Cable,XLR,available,Kopul,M3010,,17.95,2020-01-27 12:00:00,,,,"36.3649821, -94.214582",Podcast Kit | Audio Interface,GPC | Apollo Studios + VR Lab,2023-04-04 06:42:34,,R7iy6zLsyq9b5fE4cjrpVQ,,https://attachments.cheqroomcdn.com/app/groups/PcxFCbYNX5ZroUMdZeaUs/4d284d9c-d342-11ed-8b15-0a58a9feac02.jpg,CB1-0008,,,,,,,,,,,,,,https://www.bhphotovideo.com/c/product/867219-REG/Kopul_m3010_Premium_Performance_3000_Series.html,KOM3010,,,,,,,,
10lb Clamp,Sandbags,available,Impact,LSA-CW10,,54.88,2022-03-23 12:00:00,,38.1111111111111,,,,GPC | Apollo Studios + VR Lab,2023-01-06 05:35:27,,T3DVJmyruice4joryDBHPd,,https://attachments.cheqroomcdn.com/app/groups/PcxFCbYNX5ZroUMdZeaUs/3786369c-8db6-11ed-8e87-0a58a9feac02.jpg,,,,,,,,,,,,,Counter Weight,,https://www.bhphotovideo.com/c/product/917863-REG/impact_lsa_cw10_counter_weight_10_lb_4_5.html,IMLSACW10,,,,,,,1,
10lb Clamp,Sandbags,available,Impact,LSA-CW10,,54.88,2022-03-23 12:00:00,,38.1111111111111,,,,GPC | Apollo Studios + VR Lab,2023-01-06 05:35:27,,HcyNKLQ385kWp4bGMtrvSV,,https://attachments.cheqroomcdn.com/app/groups/PcxFCbYNX5ZroUMdZeaUs/3786369c-8db6-11ed-8e87-0a58a9feac02.jpg,,,,,,,,,,,,,Counter Weight,,https://www.bhphotovideo.com/c/product/917863-REG/impact_lsa_cw10_counter_weight_10_lb_4_5.html,IMLSACW10,,,,,,,2,
10lb Clamp,Sandbags,in_custody,Impact,LSA-CW10,,54.88,2022-03-23 12:00:00,,38.1111111111111,,,,GPC | Apollo Studios + VR Lab,2023-01-06 05:35:28,,rmtkZuY4EuGhUrRNe93ZZ5,,https://attachments.cheqroomcdn.com/app/groups/PcxFCbYNX5ZroUMdZeaUs/3786369c-8db6-11ed-8e87-0a58a9feac02.jpg,,,,,,,,,,Apollo Studio,emediadesign@walmart.com,,Counter Weight,,https://www.bhphotovideo.com/c/product/917863-REG/impact_lsa_cw10_counter_weight_10_lb_4_5.html,IMLSACW10,,,,,,,3,
10lb Clamp,Sandbags,in_custody,Impact,LSA-CW10,,54.88,2022-03-23 12:00:00,,38.1111111111111,,,,GPC | Apollo Studios + VR Lab,2023-01-06 05:35:28,,Wc6gMguxLy47mrt7F35LD6,,https://attachments.cheqroomcdn.com/app/groups/PcxFCbYNX5ZroUMdZeaUs/3786369c-8db6-11ed-8e87-0a58a9feac02.jpg,,,,,,,,,,Apollo Studio,emediadesign@walmart.com,,Counter Weight,,https://www.bhphotovideo.com/c/product/917863-REG/impact_lsa_cw10_counter_weight_10_lb_4_5.html,IMLSACW10,,,,,,,4,
10lb Clamp,Sandbags,in_custody,Impact,LSA-CW10,,54.88,2022-03-23 12:00:00,,38.1111111111111,,,,GPC | Apollo Studios + VR Lab,2023-01-06 05:35:28,,aB9KT4tRKJHqC7d2EYL9De,,https://attachments.cheqroomcdn.com/app/groups/PcxFCbYNX5ZroUMdZeaUs/3786369c-8db6-11ed-8e87-0a58a9feac02.jpg,,,,,,,,,,Apollo Studio,emediadesign@walmart.com,,Counter Weight,,https://www.bhphotovideo.com/c/product/917863-REG/impact_lsa_cw10_counter_weight_10_lb_4_5.html,IMLSACW10,,,,,,,5,
10lb Clamp,Sandbags,in_custody,Impact,LSA-CW10,,54.88,2022-03-23 12:00:00,,38.1111111111111,,,,GPC | Apollo Studios + VR Lab,2023-01-06 05:35:29,,9vJ7dcgViQxVPxMHtoN6KA,,https://attachments.cheqroomcdn.com/app/groups/PcxFCbYNX5ZroUMdZeaUs/3786369c-8db6-11ed-8e87-0a58a9feac02.jpg,,,,,,,,,,Apollo Studio,emediadesign@walmart.com,,Counter Weight,,https://www.bhphotovideo.com/c/product/917863-REG/impact_lsa_cw10_counter_weight_10_lb_4_5.html,IMLSACW10,,,,,,,6,
10lb Clamp,Sandbags,in_custody,Impact,LSA-CW10,,54.88,2022-03-23 12:00:00,,38.1111111111111,,,,GPC | Apollo Studios + VR Lab,2023-01-06 05:35:29,,HjMVgd4VyoBehZXpLopjU7,,https://attachments.cheqroomcdn.com/app/groups/PcxFCbYNX5ZroUMdZeaUs/3786369c-8db6-11ed-8e87-0a58a9feac02.jpg,,,,,,,,,,Apollo Studio,emediadesign@walmart.com,,Counter Weight,,https://www.bhphotovideo.com/c/product/917863-REG/impact_lsa_cw10_counter_weight_10_lb_4_5.html,IMLSACW10,,,,,,,7,
10lb Clamp,Sandbags,in_custody,Impact,LSA-CW10,,54.88,2022-03-23 12:00:00,,38.1111111111111,,,,GPC | Apollo Studios + VR Lab,2023-01-06 05:35:29,,DiKnfLE49sGTVoBgmGWV7R,,https://attachments.cheqroomcdn.com/app/groups/PcxFCbYNX5ZroUMdZeaUs/3786369c-8db6-11ed-8e87-0a58a9feac02.jpg,,,,,,,,,,Apollo Studio,emediadesign@walmart.com,,Counter Weight,,https://www.bhphotovideo.com/c/product/917863-REG/impact_lsa_cw10_counter_weight_10_lb_4_5.html,IMLSACW10,,,,,,,8,
10lb Clamp,Sandbags,in_custody,Impact,LSA-CW10,,54.88,2022-03-23 12:00:00,,38.1111111111111,,,,GPC | Apollo Studios + VR Lab,2023-01-06 05:35:30,,kKniaUkavhVQrfodRrTgc7,,https://attachments.cheqroomcdn.com/app/groups/PcxFCbYNX5ZroUMdZeaUs/3786369c-8db6-11ed-8e87-0a58a9feac02.jpg,,,,,,,,,,Apollo Studio,emediadesign@walmart.com,,Counter Weight,,https://www.bhphotovideo.com/c/product/917863-REG/impact_lsa_cw10_counter_weight_10_lb_4_5.html,IMLSACW10,,,,,,,9,
10lb Clamp,Sandbags,in_custody,Impact,LSA-CW10,,54.88,2022-03-23 12:00:00,,38.1111111111111,,,,GPC | Apollo Studios + VR Lab,2023-01-06 05:35:30,,8qMpptDAtFDM6NRoV85qGa,,https://attachments.cheqroomcdn.com/app/groups/PcxFCbYNX5ZroUMdZeaUs/3786369c-8db6-11ed-8e87-0a58a9feac02.jpg,,,,,,,,,,Apollo Studio,emediadesign@walmart.com,,Counter Weight,,https://www.bhphotovideo.com/c/product/917863-REG/impact_lsa_cw10_counter_weight_10_lb_4_5.html,IMLSACW10,,,,,,,10,
10lb Saddle Sandbag,Sandbags,available,Phottix,PH88188,,24.95,2016-01-01 12:00:00,,,,,,GPC | Apollo Studios + VR Lab,2023-01-06 05:35:17,,w4Qzcpy4BFoLYrkS4Axbue,b35f55f9,https://attachments.cheqroomcdn.com/app/groups/PcxFCbYNX5ZroUMdZeaUs/317bb1dc-8db6-11ed-8e87-0a58a9feac02.jpg,,,,,,,,,,,,,Green Sandbag,,https://www.bhphotovideo.com/c/product/1175606-REG/phottix_ph88188_stay_put_sandbag_ii_for.html,PH88188,,,,,,,1,
10lb Saddle Sandbag,Sandbags,available,Phottix,PH88188,,24.95,2016-01-01 12:00:00,,,,,,GPC | Apollo Studios + VR Lab,2023-01-06 05:35:17,,eXMpLCZasuxi3LMYQ93fZ5,,https://attachments.cheqroomcdn.com/app/groups/PcxFCbYNX5ZroUMdZeaUs/317bb1dc-8db6-11ed-8e87-0a58a9feac02.jpg,,,,,,,,,,,,,Green Sandbag,,https://www.bhphotovideo.com/c/product/1175606-REG/phottix_ph88188_stay_put_sandbag_ii_for.html,PH88188,,,,,,,2,
1200 Case,Cases,available,Pelican,1200-000-110,,69.95,2020-02-05 12:00:00,,,,,Hollyland Wireless 01,GPC | Apollo Studios + VR Lab,2022-12-15 02:18:53,,Ac8MW7sR5rM7pMmPr7YXEP,,https://attachments.cheqroomcdn.com/app/groups/PcxFCbYNX5ZroUMdZeaUs/1cce99c8-7c51-11ed-85d1-0a58a9feac02.jpg,,,,,,,,,,,,,Travel Case,,https://www.bhphotovideo.com/c/product/40631-REG/Pelican_1200_000_110_1200_Case_with_Foam.html,PE1200FB,,,,,,,1,
1200 Case,Cases,available,Pelican,1200-000-110,,69.95,2020-02-05 12:00:00,,,,,Hollyland Wireless B,GPC | Apollo Studios + VR Lab,2022-12-15 02:23:33,,7fpbru36VMDzDh5h5ymrET,,https://attachments.cheqroomcdn.com/app/groups/PcxFCbYNX5ZroUMdZeaUs/1cce99c8-7c51-11ed-85d1-0a58a9feac02.jpg,,,,,,,,,,,,,Travel Case,,https://www.bhphotovideo.com/c/product/40631-REG/Pelican_1200_000_110_1200_Case_with_Foam.html,PE1200FB,,,,,,,2,
1200 Case,Cases,available,Pelican,1200-000-110,,69.95,2020-02-05 12:00:00,,,,,,GPC | Apollo Studios + VR Lab,2022-12-15 02:23:33,,9wHXLQLPL4PG9tpwBRyb6E,,https://attachments.cheqroomcdn.com/app/groups/PcxFCbYNX5ZroUMdZeaUs/1cce99c8-7c51-11ed-85d1-0a58a9feac02.jpg,,,,,,,,,,,,,Travel Case,,https://www.bhphotovideo.com/c/product/40631-REG/Pelican_1200_000_110_1200_Case_with_Foam.html,PE1200FB,,,,,,,,
1400 Case,Cases,available,Pelican,1400-000-110,,109.95,2020-02-05 12:00:00,,,,"36.365622, -94.2146699",Lens Kit | Zooms 01,GPC | Apollo Studios + VR Lab,2022-12-15 02:18:23,,HiT3T9sYVa4UKdYYDmHAiF,,https://attachments.cheqroomcdn.com/app/groups/PcxFCbYNX5ZroUMdZeaUs/0ae70f2e-7c51-11ed-85d1-0a58a9feac02.jpg,,,,,,,,,,,,,Travel Case,,https://www.bhphotovideo.com/c/product/40651-REG/Pelican_1400_000_110_1400_Case_with_Foam.html,PE1400FB,,,,,,,1,
1400 Case,Cases,available,Pelican,1400-000-110,,109.95,2020-02-05 12:00:00,,,,"36.3656442, -94.2146793",Lens Kit | Zooms 02,GPC | Apollo Studios + VR Lab,2022-12-15 02:18:25,,XBXM8Bmgd2Qw2C5Q3fhEmX,,https://attachments.cheqroomcdn.com/app/groups/PcxFCbYNX5ZroUMdZeaUs/0ae70f2e-7c51-11ed-85d1-0a58a9feac02.jpg,,,,,,,,,,,,,Travel Case,,https://www.bhphotovideo.com/c/product/40651-REG/Pelican_1400_000_110_1400_Case_with_Foam.html,PE1400FB,,,,,,,1,
1400 Case,Cases,available,Pelican,1400-000-110,,109.95,2020-02-05 12:00:00,,,,,,GPC | Apollo Studios + VR Lab,2022-12-15 02:18:54,,htokECZcUrNegYu7wZjfS9,,https://attachments.cheqroomcdn.com/app/groups/PcxFCbYNX5ZroUMdZeaUs/0ae70f2e-7c51-11ed-85d1-0a58a9feac02.jpg,,,,,,,,,,,,,Travel Case,,https://www.bhphotovideo.com/c/product/40651-REG/Pelican_1400_000_110_1400_Case_with_Foam.html,PE1400FB,,,,,,,,
1510 Case,Cases,available,Pelican,1510-000-110,,252.95,2020-02-05 12:00:00,,,,"36.3656672, -94.2147486",Camera | MAVO LF 01,GPC | Apollo Studios + VR Lab,2022-12-15 02:18:54,,kLbQAvTzuLMVuo6HditwRR,,https://attachments.cheqroomcdn.com/app/groups/PcxFCbYNX5ZroUMdZeaUs/1da737d8-7c51-11ed-85d1-0a58a9feac02.jpg,,,,,,,,,,,,,Travel Case,,https://www.bhphotovideo.com/c/product/330231-REG/Pelican_1510_000_110_1510_Carry_On_Case.html,PE1510FB,,,,,,,1,
1510 Case,Cases,available,Pelican,1510-000-110,,252.95,2020-02-05 12:00:00,,,,,Camera | MAVO LF 02,GPC | Apollo Studios + VR Lab,2022-12-15 02:20:26,,VcMt49jwUNY289NzfMtrFo,,https://attachments.cheqroomcdn.com/app/groups/PcxFCbYNX5ZroUMdZeaUs/1da737d8-7c51-11ed-85d1-0a58a9feac02.jpg,,,,,,,,,,,,,Travel Case,,https://www.bhphotovideo.com/c/product/330231-REG/Pelican_1510_000_110_1510_Carry_On_Case.html,PE1510FB,,,,,,,2,
1510 Case,Cases,available,Pelican,1510-000-110,,252.95,2020-02-05 12:00:00,,,,,,GPC | Apollo Studios + VR Lab,2022-12-15 02:20:26,,nnXoo7uFVFGNWPji2q7fiL,,https://attachments.cheqroomcdn.com/app/groups/PcxFCbYNX5ZroUMdZeaUs/1da737d8-7c51-11ed-85d1-0a58a9feac02.jpg,,,,,,,,,,,,,Travel Case,,https://www.bhphotovideo.com/c/product/330231-REG/Pelican_1510_000_110_1510_Carry_On_Case.html,PE1510FB,,,,,,,,
15ft Extension Cord,Extension Cords,available,Watson,ACE16-15BU,,9.95,2020-01-27 12:00:00,,,,"36.3649821, -94.214582",Podcast Kit | Audio Interface,GPC | Apollo Studios + VR Lab,2023-04-04 07:06:37,,Q9TPbNrdRG9tQsFcLmbTkT,,https://attachments.cheqroomcdn.com/app/groups/PcxFCbYNX5ZroUMdZeaUs/b4934e34-d345-11ed-8132-0a58a9feac02.jpeg,CB1-0004,,,,,,,,,,,,,,https://www.bhphotovideo.com/c/product/1355103-REG/watson_ace16_15bu_ac_extension_cord_16.html,WAACE1615BU,,,,,,,,
15ft Extension Cord,Extension Cords,available,Watson,ACE16-15BU,,9.95,2020-01-27 12:00:00,,,,"36.3462958, -94.1951064",Field Audio Recording Kit,Redbird | 117,2023-04-18 02:46:41,,b6WVPKquuY8uzCQijdZwqk,,https://attachments.cheqroomcdn.com/app/groups/PcxFCbYNX5ZroUMdZeaUs/b4934e34-d345-11ed-8132-0a58a9feac02.jpeg,CB1-0003,,,,,,,,,,,,,,https://www.bhphotovideo.com/c/product/1355103-REG/watson_ace16_15bu_ac_extension_cord_16.html,WAACE1615BU,,,,,,,,
15lb Saddle Sandbag,Sandbags,available,Impact,SBF-0-15,,21.95,2016-01-01 12:00:00,,,,,,GPC | Apollo Studios + VR Lab,2023-01-06 05:35:17,,fucZEr9iesjqyRumvsjhbP,dadaf0f2,https://attachments.cheqroomcdn.com/app/groups/PcxFCbYNX5ZroUMdZeaUs/320d32e2-8db6-11ed-8e87-0a58a9feac02.jpg,,,,,,,,,,,,,Orange Sandbag,,https://www.bhphotovideo.com/c/product/1161030-REG/impact_sbf_o_15_saddle_sandbag_15lb.html,IMSBFO15,,,,,,,1,
15lb Saddle Sandbag,Sandbags,available,Impact,SBF-B-15,,21.95,2016-01-01 12:00:00,,,,,,GPC | Apollo Studios + VR Lab,2023-01-06 05:35:18,,y4X3qTZV4jhgr7avYiZ3og,0b28d7fa,https://attachments.cheqroomcdn.com/app/groups/PcxFCbYNX5ZroUMdZeaUs/60df2af4-a73c-11ed-886d-0a58a9feac02.jpg,,,,,,,,,,,,,Black Sandbag,,https://www.bhphotovideo.com/c/product/1161029-REG/impact_sbf_b_15_saddle_sandbag_15lb.html,IMSBFB15,,,,,,,2,
20ft XLR Cable,XLR,available,,6m - 20ft,,7.47,2020-01-27 12:00:00,,,,,,GPC | Apollo Studios + VR Lab,2022-12-16 03:29:33,,9rEYtTHxfy5VcFpVxMhSRS,,https://attachments.cheqroomcdn.com/app/groups/PcxFCbYNX5ZroUMdZeaUs/278ebd00-7d25-11ed-ba83-0a58a9feac02.jpg,,,,,,,,,,,,,New XLR Cables,,https://www.ebay.com/itm/233246753428,,,,,,,,,
20ft XLR Cable,XLR,available,Pig Hog,PHM20,,25.9,2020-01-27 12:00:00,,,,"36.3462958, -94.1951064",Field Audio Recording Kit,Redbird | 117,2023-04-06 07:13:42,,UkqFxVj6ch7eNN3YiDHYoe,,https://attachments.cheqroomcdn.com/app/groups/PcxFCbYNX5ZroUMdZeaUs/0ade707c-d4d9-11ed-83a6-0a58a9feac02.jpg,CB1-0006,,,,,,,,,,,,,,https://www.bhphotovideo.com/c/product/1135396-REG/strukture_phm20_pig_hog_8mm_mic.html,PIPHM20,,,,,,,,
21.5in Display,Monitors,available,Dell,E2216Hf,,145,2016-01-27 12:00:00,,,,"36.34674200000001, -94.195723",,Redbird | 117,2023-04-18 02:26:12,,hYbM92ZRvpMRNErFN3tZVC,"cfe90647, d4cabe08",https://attachments.cheqroomcdn.com/app/groups/PcxFCbYNX5ZroUMdZeaUs/d0b60bcc-de1e-11ed-b7af-0a58a9feac02.jpg,,,,,,,,,,,,,,,,,,,,,,,1,
23.8in Display,Monitors,available,Dell,P2419H,,345,2016-01-27 12:00:00,,,,"36.34674200000001, -94.195723",,Redbird | 117,2023-04-18 02:19:33,,Ksnn5k5wuEoPvkA662M3a8,"d0d104c4, d21d75e2",https://attachments.cheqroomcdn.com/app/groups/PcxFCbYNX5ZroUMdZeaUs/d0567ab4-de1d-11ed-87f6-0a58a9feac02.png,,,,,,,,,,,,,,,,,,,,,,,2,
23.8in Display,Monitors,available,Dell,P2419H,,345,2016-01-27 12:00:00,,,,"36.34674200000001, -94.195723",,GPC | Apollo Studios + VR Lab,2023-04-26 02:57:37,,XWoM9rjazVqKpxgMgPgVvN,,https://attachments.cheqroomcdn.com/app/groups/PcxFCbYNX5ZroUMdZeaUs/d0567ab4-de1d-11ed-87f6-0a58a9feac02.png,,,,,,,,,,,,,,,,,,,,,,,4,
24in Teleprompter,Monitors,available,Prompter People,FLEXP-24HB,,2399,2020-01-27 12:00:00,,,,,,GPC | Apollo Studios + VR Lab,2023-04-24 06:15:42,,Netgt8U62uX7DG74kPppwA,,https://attachments.cheqroomcdn.com/app/groups/PcxFCbYNX5ZroUMdZeaUs/4c86831e-e291-11ed-b702-0a58a9feac02.jpg,,,,,,,,,,,,,,,https://www.bhphotovideo.com/c/product/1397628-REG/prompter_people_flexp_24hb_flex_plus_24_high.html,PRFLEXP24HB,,,,,,,1,
24in Triangle Reflector with Handle,Reflectors,available,Neewer,10078406,,19.99,2020-01-27 12:00:00,,,,,,GPC | Apollo Studios + VR Lab,2023-02-07 06:03:45,,smyxcX82j335p93unH5y7g,1b13eb4b,https://attachments.cheqroomcdn.com/app/groups/PcxFCbYNX5ZroUMdZeaUs/f967c7f2-a743-11ed-969d-0a58a9feac02.jpg,,,,,,,,,,,,,,,,,,,,,,,1,
24in Triangle Reflector with Handle,Reflectors,available,Neewer,10078406,,19.99,2020-01-27 12:00:00,,,,,,GPC | Apollo Studios + VR Lab,2023-02-07 06:04:19,,gcGS4G5Fhagj9P9hxsybb8,cc7d03bf,https://attachments.cheqroomcdn.com/app/groups/PcxFCbYNX5ZroUMdZeaUs/f967c7f2-a743-11ed-969d-0a58a9feac02.jpg,,,,,,,,,,,,,,,,,,,,,,,2,
25ft XLR Cable,XLR,available,,8m - 25ft,,9.46,2020-01-27 12:00:00,,,,,,GPC | Apollo Studios + VR Lab,2022-12-16 03:29:33,,f3up3mhCngxS5abZRE5zdW,,https://attachments.cheqroomcdn.com/app/groups/PcxFCbYNX5ZroUMdZeaUs/2ecd4384-7d25-11ed-8929-0a58a9feac02.jpg,CW1-0013,,,,,,,,,,,,New XLR Cables,,https://www.ebay.com/itm/233246753428,,,,,,,,1,
25ft XLR Cable,XLR,available,,8m - 25ft,,9.46,2020-01-27 12:00:00,,,,,,GPC | Apollo Studios + VR Lab,2022-12-16 12:30:10,,KgasXNSyVMgT7HgtXV6QvW,,https://attachments.cheqroomcdn.com/app/groups/PcxFCbYNX5ZroUMdZeaUs/2ecd4384-7d25-11ed-8929-0a58a9feac02.jpg,CW1-0014,,,,,,,,,,,,New XLR Cables,,https://www.ebay.com/itm/233246753428,,,,,,,,2,
25ft XLR Cable,XLR,available,,8m - 25ft,,9.46,2020-01-27 12:00:00,,,,,,GPC | Apollo Studios + VR Lab,2022-12-16 12:30:10,,g6BN6TxwNXQ2U8Fj4XKxL6,,https://attachments.cheqroomcdn.com/app/groups/PcxFCbYNX5ZroUMdZeaUs/2ecd4384-7d25-11ed-8929-0a58a9feac02.jpg,CW1-0018,,,,,,,,,,,,New XLR Cables,,https://www.ebay.com/itm/233246753428,,,,,,,,3,
3-Battery Two-Way Charging Hub for Mini 2,Drones,available,DJI,CP.MA.00000328.01,,39,2022-03-23 12:00:00,,27.0833333333333,,,DJI Mini2,GPC | Apollo Studios + VR Lab,2022-12-15 02:17:45,,oLXgwXUjmRv6hMKTrePYk3,,https://attachments.cheqroomcdn.com/app/groups/PcxFCbYNX5ZroUMdZeaUs/f44c9482-7c50-11ed-85d1-0a58a9feac02.jpg,B2-0014,,,,,,,,,,,3t2ZJ61004VS65,Battery Charger,,https://www.bhphotovideo.com/c/product/1605027-REG/dji_cp_ma_00000328_01_mini_2_two_way_charging.html,DJM22WCHUB,,,,,,,1,
3-Way Microphone Splitter Box,Cable Adapters,available,Pro Co,MS3,,89,2020-01-27 12:00:00,,,,,,GPC | Apollo Studios + VR Lab,2022-12-16 03:29:33,,xiE5aAiqcjZtwhU5WYscb3,,https://attachments.cheqroomcdn.com/app/groups/PcxFCbYNX5ZroUMdZeaUs/970f795e-8d4b-11ed-bee7-0a58a9feac02.jpg,,,,,,,,,,,,,XLR Splitter,,https://www.bhphotovideo.com/c/product/227977-REG/Pro_Co_Sound_MS3_MS3_1_into.html,PRMS3,,,,,,,1,
